"X","GAD1","GAD2","GAD3","GAD4","GAD5","GAD6","GAD7","GADE","SWL1","SWL2","SWL3","SWL4","SWL5","Game","Platform","Hours","whyplay","streams","SPIN1","SPIN2","SPIN3","SPIN4","SPIN5","SPIN6","SPIN7","SPIN8","SPIN9","SPIN10","SPIN11","SPIN12","SPIN13","SPIN14","SPIN15","SPIN16","SPIN17","Narcissism","Gender","Age","Work","Degree","Birthplace","Residence","Playstyle","GAD_T","SWL_T","SPIN_T","Anxiety"
1,0,0,0,0,1,0,0,"Not difficult at all",3,5,5,5,5,"Skyrim","Console",15,"Fun",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,"Male",25,"Unemployed","Bachelors","USA","USA","Singleplayer",1,23,5,0
2,1,2,2,2,0,1,0,"Somewhat difficult",3,5,2,5,1,"Other","PC",8,"Fun",2,2,1,1,3,2,3,1,3,4,0,3,0,1,3,3,1,2,1,"Male",41,"Unemployed","Bachelors","USA","USA","Multiplayer",8,16,33,0
3,0,2,2,0,0,3,1,"Not difficult at all",2,6,5,2,2,"Other","PC",0,"Fun",0,1,0,1,2,3,4,2,1,0,1,1,3,0,2,4,4,2,4,"Female",32,"Employed","Bachelors","Germany","Germany","Singleplayer",8,17,31,0
4,0,0,0,0,0,0,0,"Not difficult at all",2,5,5,3,2,"Other","PC",20,"Competition",5,2,0,0,1,3,0,0,0,0,0,1,3,0,0,1,0,0,2,"Male",28,"Employed","Bachelors","USA","USA","Multiplayer",0,17,11,0
5,2,1,2,2,2,3,2,"Very difficult",2,2,4,5,1,"Other","Console",20,"Fun",1,2,0,0,0,1,0,0,4,2,0,1,0,0,0,0,3,0,1,"Male",19,"Employed","High School","USA","South Korea","Multiplayer",14,14,13,1
6,0,0,0,0,0,1,0,"Not difficult at all",3,5,3,3,3,"Other","Console",4,"Fun",0,1,1,2,3,2,1,0,0,0,1,0,0,0,1,1,0,0,2,"Male",24,"Employed","Bachelors","USA","USA","Multiplayer",1,17,13,0
7,0,0,0,0,0,0,0,"Not difficult at all",3,4,4,3,2,"Other","PC",30,"Fun",8,1,2,2,3,1,1,1,2,3,1,3,1,0,1,2,1,1,2,"Male",29,"Employed","High School","USA","USA","Multiplayer",0,16,26,0
9,2,3,2,2,0,1,2,"Very difficult",2,3,3,3,1,"Other","Console",2,"Competition",0,1,1,4,4,4,4,4,4,3,3,4,4,2,4,4,2,3,1,"Female",23,"Employed","Bachelors","USA","USA","Multiplayer",12,12,55,1
10,2,1,2,2,2,1,0,"Somewhat difficult",3,3,3,2,2,"World of Warcraft","PC",25,"Competition",0,1,1,1,1,3,3,0,1,2,2,3,1,0,3,2,0,2,1,"Female",27,"Employed","High School","Finland","Finland","Multiplayer",10,13,26,1
11,3,3,3,3,1,3,3,"Somewhat difficult",5,5,6,6,5,"Other","PC",14,"Fun",0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,1,"Female",21,"Student","High School","USA","USA","Singleplayer",19,27,6,1
14,0,0,1,0,0,1,1,"Somewhat difficult",6,7,3,6,4,"Other","Console",25,"Fun",1,0,4,2,3,4,1,4,1,4,1,1,4,0,0,0,0,0,1,"Male",19,"Student","High School","USA","USA","Multiplayer",3,26,29,0
15,0,0,0,1,0,1,0,"Not difficult at all",2,4,3,2,2,"Other","PC",30,"Fun",5,2,1,3,3,1,1,0,4,3,2,3,2,2,2,2,1,1,1,"Male",35,"Employed","High School","Canada","Canada","Multiplayer",2,13,33,0
16,3,1,2,1,0,1,0,"Somewhat difficult",5,6,6,5,6,"Other","PC",14,"Fun",0,0,3,3,4,2,2,1,3,4,2,1,0,1,2,2,0,0,3,"Male",18,"Student","High School","Australia","Australia","Singleplayer",8,28,30,0
17,1,0,1,1,0,1,0,"Not difficult at all",3,3,3,3,3,"Other","Console",4,"Fun",5,2,4,1,1,2,2,3,1,3,1,4,2,1,3,2,2,2,1,"Female",24,"Unemployed","Bachelors","UK","UK","Multiplayer",4,15,36,0
18,0,0,0,0,0,0,1,"Not difficult at all",5,2,4,6,2,"Other","PC",20,"Fun",1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,"Male",30,"Employed","Bachelors","Bosnia and Herzegovina","Bosnia and Herzegovina","Multiplayer",1,19,8,0
19,1,1,1,2,2,1,0,"Somewhat difficult",1,1,1,1,2,"Skyrim","PC",10,"Fun",0,1,0,2,3,2,3,1,2,4,4,4,1,1,1,1,4,2,1,"Male",29,"Unemployed","High School","Germany","USA","Singleplayer",8,6,36,0
20,0,0,0,0,0,0,0,"Not difficult at all",6,6,6,7,6,"Other","Console",6,"Fun",2,0,0,1,1,0,1,0,1,3,1,3,0,0,0,0,0,0,2,"Male",22,"Employed","Bachelors","UK","Ireland","Multiplayer",0,31,11,0
21,1,0,0,0,0,0,1,"Not difficult at all",1,6,1,3,5,"Other","Console",7,"Fun",0,1,0,3,3,2,1,4,3,2,1,4,0,0,2,0,0,0,1,"Female",20,"Employed","High School","Finland","Finland","Singleplayer",2,16,26,0
22,3,3,3,2,0,1,3,"Extremely difficult",1,1,1,2,4,"Starcraft 2","PC",60,"Competition",10,0,2,1,3,4,3,3,4,3,1,3,3,1,1,3,1,1,3,"Male",24,"Student","High School","Germany","Germany","Multiplayer",15,9,37,1
23,0,0,0,1,1,1,0,"Not difficult at all",5,7,7,7,5,"Other","PC",10,"Fun",0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,"Male",33,"Employed","PhD","Canada","Canada","Singleplayer",3,31,5,0
25,1,1,1,2,1,2,2,"Somewhat difficult",1,2,2,2,1,"Other","PC",20,"Fun",0,1,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,"Female",25,"Unemployed","Bachelors","UK","UK","Multiplayer",10,8,47,1
26,1,0,0,1,0,1,1,"Somewhat difficult",1,1,2,2,1,"Other","PC",21,"Fun",0,0,1,3,1,1,1,1,4,2,0,1,0,0,0,3,0,2,5,"Male",26,"Unemployed","Masters","South Korea","Malaysia","Singleplayer",4,7,20,0
27,0,0,0,0,0,0,0,"Not difficult at all",4,3,3,3,3,"Skyrim","PC",20,"Fun",0,1,1,3,2,3,3,2,2,2,3,3,3,3,3,3,0,2,3,"Female",20,"Student","High School","UK","UK","Singleplayer",0,16,39,0
28,1,0,1,1,0,1,1,"Somewhat difficult",6,6,6,3,5,"League of Legends","PC",5,"Fun",5,2,1,1,2,3,2,2,0,1,1,3,3,1,1,4,3,1,3,"Male",36,"Employed","Bachelors","Romania","Romania","Multiplayer",5,26,31,0
29,1,0,2,1,0,0,0,"Not difficult at all",5,6,4,4,5,"Other","Console",40,"Fun",2,1,0,0,1,3,0,0,0,1,0,3,1,0,1,3,0,1,1,"Male",19,"Student","High School","USA","USA","Multiplayer",4,24,15,0
30,0,0,0,0,0,1,0,"Not difficult at all",5,6,6,6,2,"Other","PC",6,"Fun",0,0,2,1,2,0,1,1,0,1,1,0,1,0,1,1,0,0,3,"Male",18,"Student","None","USA","USA","Multiplayer",1,25,12,0
31,1,0,1,1,1,2,0,"Not difficult at all",5,5,3,2,1,"Other","PC",9,"Fun",0,0,3,0,1,0,1,2,2,1,0,0,0,1,1,1,0,1,2,"Male",18,"Student","None","USA","USA","Multiplayer",6,16,14,0
32,3,3,3,3,2,0,1,"Extremely difficult",1,1,2,2,2,"Other","PC",18,"Fun",4,2,2,3,3,3,4,2,3,3,2,3,3,2,3,3,2,3,2,"Male",20,"Student","High School","Sweden","Sweden","Singleplayer",15,8,46,1
33,1,0,1,0,0,0,0,"Not difficult at all",5,5,6,6,5,"Other","PC",8,"Fun",0,1,1,2,2,0,0,0,0,1,0,1,0,1,0,0,0,2,1,"Male",26,"Employed","Bachelors","Canada","Canada","Multiplayer",2,27,11,0
35,0,0,0,0,0,2,0,"Somewhat difficult",5,6,6,6,2,"Starcraft 2","PC",6,"Competition",8,0,3,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,1,"Female",22,"Unemployed","High School","UK","UK","Multiplayer",2,25,60,0
36,0,0,0,0,0,1,0,"Not difficult at all",2,4,6,6,3,"League of Legends","PC",7,"Fun",4,0,1,3,2,1,1,3,2,1,1,2,2,1,2,3,1,3,2,"Male",25,"Student","Masters","USA","USA","Multiplayer",1,21,29,0
